0,0,0,0,0,8,0,14,0,6,0,0,13,0,16,0
5,10,0,0,3,0,12,9,0,0,7,0,11,14,0,0
14,0,0,0,5,0,1,0,10,2,0,0,0,4,0,7
15,0,8,0,6,7,11,0,14,5,0,13,0,0,0,0
11,8,0,2,12,9,0,0,1,0,0,0,0,0,0,10
7,0,0,10,0,0,0,0,0,15,8,0,16,12,0,11
0,1,0,16,0,0,8,0,0,12,0,2,4,0,5,0
4,15,0,0,16,0,0,7,0,0,0,11,9,8,2,0
0,12,10,3,7,0,0,0,15,0,0,6,0,0,14,13
0,4,0,14,13,0,10,0,0,3,0,0,5,0,11,0
9,0,13,7,0,14,3,0,0,0,0,0,15,0,0,4
8,0,0,0,0,0,0,16,0,0,14,4,3,0,10,1
0,0,0,0,4,0,16,2,0,8,15,3,0,11,0,9
3,0,5,0,0,0,13,10,0,7,0,9,0,0,0,16
0,0,9,8,0,3,0,0,5,1,0,12,0,0,4,14
0,13,0,12,0,0,9,0,11,0,10,0,0,0,0,0
